time,state
5463,1
5466,1
5470,1
5473,1
5476,1
5482,1
5486,1
5489,1
5492,1
5495,1
5499,1
5502,1
5505,1
5508,1
5511,1
5515,1
5518,1
5521,1
5524,1
5527,1
5531,1
5534,1
5537,1
5540,1
5543,1
5547,1
5550,1
5553,1
5556,1
5559,1
5563,1
5566,1
5569,1
5572,1
5575,1
5579,1
5582,1
5585,1
5588,1
5591,1
5595,1
5598,1
5601,1
5604,1
5607,1
5611,1
5614,1
5617,1
5620,1
5623,1
5627,1
5630,1
5633,1
5636,1
5639,1
5643,1
5646,1
5649,1
5652,1
5655,1
5659,1
5662,1
5665,1
5668,1
5671,1
5675,1
5678,1
5681,1
5684,1
5687,1
5691,1
5694,1
5697,1
5700,1
5703,1
5707,1
5710,1
5713,1
5716,1
5719,1
5723,1
5726,1
5729,1
5732,1
5735,1
5739,1
5742,1
5745,1
5748,1
5751,1
5755,1
5758,1
5761,1
5764,1
5767,1
5771,1
5774,1
5777,1
5780,1
5783,1
5786,1
5790,1
5793,1
5796,1
5799,1
5802,1
5806,1
5809,1
5812,1
5815,1
5818,1
5822,1
5825,1
5828,1
5831,1
5834,1
5838,1
5841,1
5844,1
5847,1
5850,1
5854,1
5857,1
5860,1
5863,1
5866,1
5870,1
5873,1
5876,1
5879,1
5882,1
5886,1
5889,1
5892,1
5895,1
5898,1
5902,1
5905,1
5908,1
5911,1
5914,1
5918,1
5921,1
5924,1
5927,1
5930,1
5934,1
5937,1
5940,1
5943,1
5946,1
5978,1
5981,1
5984,1
5987,1
5991,1
5994,1
5997,1
6000,1
6003,1
6007,1
6010,1
6013,1
6016,1
6019,1
6023,1
6026,1
6029,1
6032,1
6035,1
6039,1
6042,1
6045,1
6048,1
6051,1
6055,1
6058,1
6061,1
6064,1
6067,1
6070,1
6074,1
6077,1
6080,1
6083,1
6086,1
6090,1
6093,1
6096,1
6099,1
6102,1
6106,1
6109,1
6112,1
6115,1
6118,1
6122,1
6125,1
6128,1
6131,1
6134,1
6138,1
6141,1
6144,1
6147,1
6150,1
6154,1
6157,1
6160,1
6163,1
6166,1
6170,1
6173,1
6176,1
6179,1
6182,1
6186,1
6189,1
6192,1
6195,1
6198,1
6202,1
6205,1
6208,1
6211,1
6214,1
6218,1
6221,1
6224,1
6227,1
6230,1
6234,1
6237,1
6240,1
6243,1
6246,1
6250,1
6253,1
6256,1
6259,1
6262,1
6266,1
6269,1
6272,1
6275,1
6278,1
6282,1
6285,1
6288,1
6291,1
6294,1
6298,1
6301,1
6304,1
6307,1
6310,1
6314,1
6317,1
6320,1
6323,1
6326,1
6330,1
6333,1
6336,1
6339,1
6342,1
6346,1
6349,1
6352,1
6355,1
6358,1
6362,1
6365,1
6368,1
6371,1
6374,1
6377,1
6381,1
6384,1
6387,1
6390,1
6393,1
6397,1
6400,1
6403,1
6406,1
6409,1
6413,1
6416,1
6419,1
6422,1
6425,0
6429,0
6432,0
6435,0
6438,0
6441,0
6448,0
6451,0
6454,0
6458,0
6461,0
6464,0
6467,0
6470,0
6474,0
6477,0
6480,0
6483,0
6486,0
6490,0
6493,0
6496,0
6499,0
6502,0
6506,0
6509,0
6512,0
6515,0
6518,0
6522,0
6525,0
6528,0
6531,0
6534,0
6538,0
6541,0
6544,0
6547,0
6550,0
6554,0
6557,0
6560,0
6563,0
6566,0
6569,0
6573,0
6576,0
6579,0
6582,0
6585,0
6589,0
6592,0
6595,0
6598,0
6601,0
6605,0
6608,0
6611,0
6614,0
6617,0
6621,0
6624,0
6627,0
6630,0
6633,0
6637,0
6640,0
6643,0
6646,0
6649,0
6653,0
6656,0
6659,1
6662,1
6665,1
6669,1
6672,1
6675,1
6678,1
6681,1
6685,1
6688,1
6691,1
6694,1
6697,1
6701,1
6704,1
6707,1
6710,1
6713,1
6717,1
6720,1
6723,1
6726,1
6729,1
6733,1
6736,1
6739,1
6742,1
6745,1
6749,1
6752,1
6755,1
6758,1
6761,1
6765,1
6768,1
6771,1
6774,1
6777,1
6781,1
6784,1
6787,1
6790,1
6793,1
6797,1
6800,1
6803,1
6806,1
6809,1
6813,1
6816,1
6819,1
6822,1
6825,1
6828,1
6832,1
6835,1
6838,1
6841,1
6844,1
6848,1
6851,1
6854,1
6857,1
6860,1
6864,1
6867,1
6870,1
6873,1
6877,1
6880,1
6883,1
6886,1
6889,1
6892,1
6896,1
6899,1
6902,1
6905,1
6909,1
6912,1
6918,1
6921,1
6925,1
6928,1
6931,1
6934,1
6937,1
6941,1
6944,1
6947,1
6950,1
6953,1
6957,1
6960,1
6963,1
6966,1
6969,1
6973,1
6976,1
6979,1
6982,1
6985,1
6989,1
6992,1
6995,1
6998,1
7001,1
7005,1
7008,1
7011,1
7014,1
7017,1
7021,1
7024,1
7027,1
7030,1
7033,1
7037,1
7040,1
7043,1
7046,1
7049,1
7053,1
7056,1
7059,1
7062,1
7065,1
7069,1
7072,1
7075,1
7078,1
7081,1
7085,1
7088,1
7091,1
7094,1
7097,1
7101,1
7104,1
7107,1
7110,1
7113,1
7117,1
7120,1
7123,1
7126,1
7129,1
7133,1
7136,1
7139,1
7142,1
7145,1
7149,1
7152,1
7155,1
7158,1
7161,1
7165,1
7168,1
7171,1
7174,1
7177,1
7181,1
7184,1
7187,1
7190,1
7193,1
7197,1
7200,1
7203,1
7206,1
7209,1
7213,1
7216,1
7219,1
7222,1
7225,1
7228,1
7232,1
7235,1
7238,1
7241,1
7245,1
7248,1
7251,1
7254,1
